"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"197",7.6,0.15,0.920489420798509,0.888941104788891,632.060860840719,0.365565581827898,0.989818230266735,0.113833828482849,0.955893779192168
"198",7.68,0.15,0.920598155300549,0.889411091087824,632.275314877907,0.36372965144483,0.989838893206839,0.11381852794193,0.956306163486546
"199",7.76,0.15,0.920704723664282,0.889871240198338,632.485695007947,0.361917776624067,0.989859125662014,0.113803404702611,0.956709730204103
"200",7.84,0.15,0.920809195549746,0.890321874087454,632.692126875832,0.360129429012083,0.989878941919803,0.113788456377782,0.957104771486976
"201",7.92,0.15,0.920911637625299,0.890763300775847,632.894730962806,0.358364095608793,0.98989835563784,0.113773680540639,0.957491566698301
"202",8,0.15,0.921012113724152,0.891195815076274,633.093622848476,0.356621278255109,0.989917379876433,0.113759074749087,0.957870383104835
"203",0,0.3,0.658551220834889,3.15141491564337e-13,409.193839642873,0.65855122083481,0.909344978997645,8.36704076269771e-14,4.35155723596643e-13
"204",0.08,0.3,0.658551904502779,4.07828758505078e-10,409.193640805214,0.658551904403329,0.902404388150158,1.16569100080361e-10,5.58841996769687e-10
"205",0.16,0.3,0.658552257813034,8.42696195606716e-07,409.193644435145,0.658552058787915,0.894728654687132,2.59810656920318e-07,1.14491207715094e-06
"206",0.24,0.3,0.659248097077194,0.00172443569575577,409.422091533192,0.658854398945387,0.887159886228093,0.000571047493593897,0.00232059854618771
"207",0.32,0.3,0.685104525725958,0.0682693237067525,418.931558692371,0.669296158199692,0.900855029269965,0.0214946248950369,0.0897684386786367
